race_id,race_name,date,title,place
198604010811,第8回新潟大賞典(G3),1986-05-11,新潟大賞典,新潟
198605010211,第21回デイリー杯クイーンC(G3),1986-01-26,デイリー杯クイーンC,東京
198605010411,第36回東京新聞杯(G3),1986-02-02,東京新聞杯,東京
198605010611,第20回共同通信杯4歳S(G3),1986-02-09,共同通信杯4歳S,東京
198605010711,第3回フェブラリーハンデ(G3),1986-02-15,フェブラリーハンデ,東京
198605010811,第100回目黒記念(G2),1986-02-16,目黒記念,東京
198605020210,第31回京王杯スプリングC(G2),1986-04-20,京王杯スプリングC,東京
198605020311,第21回サンスポ4歳牝馬特別(G2),1986-04-27,サンスポ4歳牝馬特別,東京
198605020611,第34回NHK杯(G2),1986-05-04,NHK杯,東京
198605020811,第36回安田記念(G1),1986-05-11,安田記念,東京
198605030210,第47回優駿牝馬(G1),1986-05-18,優駿牝馬,東京
198605030311,第4回NZT4歳S(G3),1986-05-24,NZT4歳S,東京
198605030410,第53回東京優駿(G1),1986-05-25,東京優駿,東京
198605030811,第3回エプソムカップ(G3),1986-06-08,エプソムカップ,東京
198605040210,第37回毎日王冠(G2),1986-10-05,毎日王冠,東京
198605040411,第34回牝馬東京タイムズ杯(G3),1986-10-12,牝馬東京タイムズ杯,東京
198605040810,第94回天皇賞(秋)(G1),1986-10-26,天皇賞(秋),東京
198605050211,第22回京成杯3歳ステークス(G2),1986-11-02,京成杯3歳ステークス,東京
198605050611,第24回アルゼンチン共和国杯(G2),1986-11-16,アルゼンチン共和国杯,東京
198605050810,第6回ジャパンカップ(G1),1986-11-23,ジャパンカップ,東京
198608010111,第24回スポニチ賞金杯(G3),1986-01-05,スポニチ賞金杯,京都
198608010511,第20回日刊スポシンザン記念(G3),1986-01-12,日刊スポシンザン記念,京都
198608010811,第33回日経新春杯(G2),1986-01-19,日経新春杯,京都
198608020211,第21回京都牝馬特別(G3),1986-01-26,京都牝馬特別,京都
198608020811,第79回京都記念(G2),1986-02-16,京都記念,京都
198608030410,第93回天皇賞(春)(G1),1986-04-29,天皇賞(春),京都
198608030611,第32回毎日放送京都4歳特別(G3),1986-05-04,毎日放送京都4歳特別,京都
198608030811,第31回京阪杯(G3),1986-05-11,京阪杯,京都
198608040211,第21回京都大賞典(G2),1986-10-05,京都大賞典,京都
198608040411,第4回関西TVローズS(G2),1986-10-12,関西TVローズS,京都
